(2437,2479,1637,1679),
(2365,2402,1565,1602),
(2300,2350,1500,1550),
(1942,1984,1442,1484),
(1893,1927,1393,1427),
(1851,1880,1151,1180),
(1808,1850,1108,1150),
(1759,1788,1259,1288),
(1570,1602,1070,1102),
(1501,1532,1001,1032),
(1331,1381,931,981),
(1271,1300,901,930),
(1240,1269,932,961),
(1201,1239,962,1000),
(1145,1181,845,881),
(1068,1102,768,802),
(1031,1066,731,766),
(969,1000,701,732),
(837,870,737,770),
(789,827,689,727),
(713,753,713,753),
(664,693,764,793),
(606,663,706,763),
(508,564,608,664),
(464,495,506,537),
(353,400,453,500),
(157,195,157,195),
(83,131,83,131),
(52,81,52,81),
(1,51,1,51),
