(2300,2501,1500,1701),
(2292,2299,178,185),
(2287,2291,626,630),
(2277,2286,1208,1216),
(2271,2276,293,298),
(2265,2270,246,251),
(2256,2264,1103,1111),
(2237,2255,743,759),
(2228,2236,26,33),
(2216,2227,556,565),
(2210,2215,1344,1349),
(2198,2209,1080,1089),
(2187,2197,417,426),
(2179,2186,439,445),
(2161,2178,1420,1436),
(2156,2160,358,362),
(2146,2155,1114,1124),
(2135,2145,872,881),
(2128,2134,182,188),
(2123,2127,81,85),
(2116,2122,1074,1080),
(2110,2115,631,636),
(2097,2109,16,26),
(2083,2096,1289,1301),
(2072,2082,976,987),
(2048,2071,694,716),
(2043,2047,457,461),
(2033,2042,855,863),
(2021,2032,453,464),
(2016,2020,44,48),
(2008,2015,989,996),
(1999,2007,123,130),
(1901,1998,1401,1498),
(1811,1900,1111,1200),
(1803,1810,1591,1598),
(1701,1802,1201,1302),
(1603,1700,1303,1400),
(1502,1602,1002,1102),
(1401,1501,401,501),
(1301,1400,901,1000),
(1201,1300,901,1000),
(1001,1200,701,900),
(901,1000,701,800),
(805,900,705,800),
(705,804,705,804),
(502,704,602,804),
(401,501,500,600),
(302,400,402,500),
(1,301,1,301),
